name,column,ecode,type
FPONCD,fp_on,1004,time
STIMONCD,stim_on,1030,time
STIMOFFCD,stim_off,1031,time
ALLOFFCD,all_off,1012,time
MSTIMONCD,laser_on,1033,time
MSTIMOFFCD,laser_off,1034,time
SEEDCD,seed,7000,long
MU1CD,mu1,7001,int
MU2CD,mu2,7002,int
MU3CD,mu3,7003,int
SIGMA1CD,sigma1,7004,int
SIGMA2CD,sigma2,7005,int
SIGMA3CD,sigma3,7006,int
NFRAMESCD,num_frames,7007,int
BKGNDRCD,bkgnd_r,7008,int
BKGNDGCD,bkgnd_g,7009,int
BKGNDBCD,bkgnd_b,7010,int
NOISETYPECD,noise_type,7012,int
LASERCD,laser,7014,int
FIXXCD,fp_x,8000,int
FIXYCD,fp_y,8001,int
FPSIZECD,fp_size,8002,int
FPRCD,fp_r,8003,int
FPGCD,fp_g,8004,int
FPBCD,fp_b,8005,int
EYEWINXCD,eyewin_x,8006,int
EYEWINYCD,eyewin_y,8007,int
RFXCD,rf_x,8008,int
RFYCD,rf_y,8009,int
NPIXPERSTIXCD,npixperstix,8010,int
NSTIXPERSIDECD,nstixperside,8011,int
GAMMATABLECD,gamma_table,8012,double
MONSPDCD,mon_spd,8013,double
FRAMERATECD,framerate,8014,double
GAUSSLOCUTCD,gauss_locut,8015,int
GAUSSHICUTCD,gauss_hicut,8016,int
FUNDAMENTALSCD,fundamentals,8017,double
NVBLSPERSTIMUPDATECD,nrepframes,8018,int
LASERINTERVALCD,laserinterval,8019,int
PARADIGMIDCD,paradigm_id,8999,int
